city,settle_date,market,forecast,actual,lo,hi,p_model,p_market,edge,action,entry_price,won_yes,pnl_per_contract
NY,2026-05-10,KXHIGHNY-26MAY10-B78.5,73.7,74.8,78.5,79.5,0.0,0.15,-0.15,NO,0.87,False,0.12
NY,2026-05-10,KXHIGHNY-26MAY10-B72.5,73.7,74.8,72.5,73.5,0.139,0.75,-0.611,NO,0.27,False,0.72
NY,2026-05-10,KXHIGHNY-26MAY10-B76.5,73.7,74.8,76.5,77.5,0.072,0.25,-0.178,NO,0.77,False,0.22
NY,2026-05-11,KXHIGHNY-26MAY11-B64.5,61.9,62.7,64.5,65.5,0.075,0.32,-0.245,NO,0.7,False,0.29
NY,2026-05-11,KXHIGHNY-26MAY11-B68.5,61.9,62.7,68.5,69.5,0.0,0.26,-0.26,NO,0.76,False,0.23
NY,2026-05-12,KXHIGHNY-26MAY12-B66.5,67.8,68.2,66.5,67.5,0.147,0.49,-0.343,NO,0.53,False,0.45
NY,2026-05-13,KXHIGHNY-26MAY13-B70.5,73.4,76.5,70.5,71.5,0.135,0.48,-0.345,NO,0.54,False,0.44
NY,2026-05-13,KXHIGHNY-26MAY13-B72.5,73.4,76.5,72.5,73.5,0.201,0.4,-0.199,NO,0.62,False,0.36
NY,2026-05-13,KXHIGHNY-26MAY13-B66.5,73.4,76.5,66.5,67.5,0.0,0.13,-0.13,NO,0.89,False,0.1
NY,2026-05-13,KXHIGHNY-26MAY13-B68.5,73.4,76.5,68.5,69.5,0.034,0.17,-0.136,NO,0.85,False,0.14
NY,2026-05-14,KXHIGHNY-26MAY14-B69.5,66.4,66.3,69.5,70.5,0.049,0.13,-0.081,NO,0.89,False,0.1
NY,2026-05-14,KXHIGHNY-26MAY14-B63.5,66.4,66.3,63.5,64.5,0.135,0.58,-0.445,NO,0.44,False,0.54
NY,2026-05-14,KXHIGHNY-26MAY14-B67.5,66.4,66.3,67.5,68.5,0.09,0.26,-0.17,NO,0.76,False,0.23
NY,2026-05-14,KXHIGHNY-26MAY14-B65.5,66.4,66.3,65.5,66.5,0.201,0.73,-0.529,NO,0.29,True,-0.3
NY,2026-05-15,KXHIGHNY-26MAY15-B65.5,66.6,66.8,65.5,66.5,0.178,0.78,-0.602,NO,0.24,False,0.75
NY,2026-05-15,KXHIGHNY-26MAY15-B69.5,66.6,66.8,69.5,70.5,0.073,0.17,-0.097,NO,0.85,False,0.14
NY,2026-05-17,KXHIGHNY-26MAY17-B83.5,89.7,90.5,83.5,84.5,0.0,0.15,-0.15,NO,0.87,False,0.12
NY,2026-05-17,KXHIGHNY-26MAY17-B87.5,89.7,90.5,87.5,88.5,0.12,0.51,-0.39,NO,0.51,False,0.47
NY,2026-05-17,KXHIGHNY-26MAY17-B89.5,89.7,90.5,89.5,90.5,0.191,0.28,-0.089,NO,0.74,False,0.25
NY,2026-05-18,KXHIGHNY-26MAY18-B81.5,87.6,90.2,81.5,82.5,0.006,0.15,-0.144,NO,0.87,False,0.12
NY,2026-05-18,KXHIGHNY-26MAY18-B83.5,87.6,90.2,83.5,84.5,0.067,0.35,-0.283,NO,0.67,False,0.31
NY,2026-05-19,KXHIGHNY-26MAY19-B93.5,94.3,96.5,93.5,94.5,0.22,0.58,-0.36,NO,0.44,False,0.54
NY,2026-05-19,KXHIGHNY-26MAY19-B95.5,94.3,96.5,95.5,96.5,0.067,0.53,-0.463,NO,0.49,False,0.49
CHI,2026-05-10,KXHIGHCHI-26MAY10-B61.5,65.6,64.7,61.5,62.5,0.055,0.89,-0.835,NO,0.13,False,0.86
CHI,2026-05-10,KXHIGHCHI-26MAY10-B63.5,65.6,64.7,63.5,64.5,0.135,0.47,-0.335,NO,0.55,False,0.43
CHI,2026-05-11,KXHIGHCHI-26MAY11-B57.5,56.5,55.6,57.5,58.5,0.107,0.48,-0.373,NO,0.54,False,0.44
